IDCLIFOR,NOME,FONE1,FONE2,FONECELULAR,EMAIL,DESCRCIDADE
72173,A CASA VERDE RESTAURANTE LTDA,6734318792,,67999968231,dlbf_2000@hotmail.com,PONTA PORA
94409,A FRANCISCO ALVES,6732611213,,67996112150,renata_tribut@hotmail.com,BANDEIRANTES
99891,A INTIMA COMERCIO DE ROUPAS LTDA,           ,,67999092704,contamares@uol.com.br,CAMPO GRANDE
88445,A J COMERCIO DE GAS LTDA,           ,,67999069279,,SIDROLANDIA
83062,A L P J COMERCIO EIRELI ME,,,67998360129,adao_pinheiro23@hotmail.com,CHAPADAO DO SUL
68965,A L XAVIER JUNIOR,           ,,67992003248,,CAMPO GRANDE
90082,A LASKA PIZZARIA LTDA ME,           ,,67996757090,,COSTA RICA
29676,A M ALBERTINI - ME,,,67981416260,arthur@comercialinformatica.com,CAMPO GRANDE
123660,A M EL SALLA,6732310808,,67999911820,,CORUMBA
97516,A P F COMERCIO DE ALIMENTOS LTDA,           ,,,,CAMPO GRANDE
82507,A S HONDA JUNIOR,6733137300,,67991753488,empresarial1@ctprice.com.br,DOIS IRMAOS DO BURIT
79263,A SENHORA CESTA COMER. DE CESTAS DE ALIMENTAÇÃO LTDA,           ,,67998229337,,BELA VISTA
93619,A&C TRANSPORTES DE BOVINOS,67981215076,,,,TERENOS
6880,A&F BOLSA DE NEGOCIOS REPRESENTACAO E COMERCIO LTDA - ME,6733250505 ,,67981111144,,CAMPO GRANDE
79851,A&M COMERCIO DE ALIMENTOS LTDA,           ,,84996588142,,NATAL
83101,A. B. ALENCAR DE SOUZA,           ,,67998973839,,BODOQUENA
32570,A. BUENO PIZZARIA ME,6733835990,,67991198008,,CAMPO GRANDE
100395,A. E. MARQUEZ,           ,,67999265252,ANDERSONE43@GMAIL.COM,CAMPO GRANDE
202,A. S. VELASQUEZ ETIQUETA'S,6733426007 ,,,,CAMPO GRANDE
58469,A. V. MONTEIRO,           ,,67998386489,,CORUMBA
96323,A.A. KIELING & CIA LTDA,66992171981,,,,LUCAS DO RIO VERDE
84928,A.A. LOCACOES E ARTIGOS PARA EVENTOS LTDA,,,67999024655,sadanfesta21@hotmail.com,CAMPO GRANDE
63081,A.D.DE MEDEIROS HORTIFRUTIGRANJEIROS,           ,,67992776185,ad.demedeiros.hortifrutig@gmail.com,CAMPO GRANDE
4860,A.DE SOUZA FERNANDES ME,6732914885,,67999917710,ludy_festaebuffet@hotmail.com,COXIM
45185,A.J. DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTDA,6730476100,,,,CAMPO GRANDE
55192,A.P.M DA ESCOLA DOCE SABER,6732891655,,,,ROCHEDO
96545,A.P.M. F. DA E.M. ALCINO CARNEIRO,6732601321,67984688162,67984131554,,ALCINOPOLIS
29904,A.P.M.E.M.PROF.ARLINDO LIMA,6733143778,,67992624183,,CAMPO GRANDE
82706,A.P.P. DOS SANTOS,           ,,67984024077,anapaula@2golog.com.br,CAMPO GRANDE
70233,A.R.A.S COMERCIO DE ALIMENTOS LTDA,           ,,67991114807,dalenovalima@gmail.com,CAMPO GRANDE
90841,A.S FREITAS RESTAURANTES,           ,,67992832730,,CAMPO GRANDE
60525,A.S.S.F. MARIUSSO SERROU,6732112173,,67992782744,alida_samanta@hotmail.com,CAMPO GRANDE
76948,A.W POKER INTERMEDICAO NA VENDA DE FICHAS E CREDITOS PARA JOGOS ONLINE LTDA,,,67992229096,yasminmecchi@icloud.com,CAMPO GRANDE
41791,AAP LEMES EMBALAGENS  ME,6732132823,,67999871218,5edistribuir@gmail.com,CAMPO GRANDE
71889,AATIVA COMERCIO DE TINTAS EIRELI - EPP,6733224800,,,aativa.financeiro@gmail.com,CAMPO GRANDE
79669,AB FORTE INCORPORACOES LTDA,67991347474,,,financeiroabforte@gmail.com,CAMPO GRANDE
98421,ABADIA CLARISLINDA LIMA DE CARVALHO,,,67991589090,thais.holland@outlook.com,CAMPO GRANDE
94377,ABADIA DA SILVA AVILA,           ,,67996222997,,JARAGUARI
80671,ABADIA PAULINA MARTINS DA SILVA,           ,,67991497265,,CAMPO GRANDE
34283,ABADIA PEREIRA DA SILVA,6733654830,,67992075017,,CAMPO GRANDE
26676,ABADIA TAVEIRA,           ,6733312558,67992788382,,CAMPO GRANDE
2382,ABAETE LAVANDERIA LTDA ME,6733848890 ,,67984088890,lavanderiawaterclean@yahoo.com.br,CAMPO GRANDE
11917,ABASTECEDORA  DE COMBUSTIVEIS AMERICA LTDA EPP,6733871003 ,,,,CAMPO GRANDE
871,ABASTECEDORA AGROSSOL DE COMBUSTIVEIS LTDA,6732511103 ,,,,JARDIM
67182,ABATEDOURO ESTANCIA CAMILA EIRELI,6734316060,,67984474484,,PONTA PORA
93837,ABB AMARAL E BOFINGER LTDA ME,           ,,67999684750,atendimento.abb@gmail.com,CAMPO GRANDE
98454,ABC COMERCIO DE OXIGENIO LTDA,6733551020,,67999124604,DANIELOXIGENIO@GMAIL.COM,CAMPO GRANDE
60995,ABDAIAS BORGES SENA,           ,,67992333002,,CAMPO GRANDE
47998,ABDALA & GUTIERRES LTDA,,,67992675837,renatakabdala@gmail.com,CAMPO GRANDE
79174,ABDALA SALOMAO NETO,           ,,67998638899,abdalasalomao@hotmail.com,CAMPO GRANDE
89300,ABDEL HAFES KAED IBAYRAT,           ,,67998717557,,CAMPO GRANDE
75031,ABDIEL HORACIO GUIMARAES,67996119350,,,,ROCHEDO
91471,ABDMINISTRA LTDA,           ,,67996000055,ABDMINISTRALTDA@GMAIL.COM;Abdministraltda@gmail.com,CAMPO GRANDE
87938,ABDULKAREEM FARHAN AHMED GHALEB,,,67991165113,aljawdaali@gmail.com,CAMPO GRANDE
63574,ABEJ- ASSOCIAÇÃO BENEFICENTE EVANGELICA JARDINENSE,6732512552,,67998885008,,JARDIM
21511,ABEL AUGUSTO RODRIGUES,           ,,67999847730,,TACURU
9573,ABEL FRANCO DE LIMA,6733824560,,67999855548,cobranca@panan.com.br,CAMPO GRANDE
63587,ABEL RENE GONZALES CANO,67998391051,,67981110270,,CAMPO GRANDE
47134,ABEL REZENDE FILHO,           ,,67992228163,,CAMPO GRANDE
77578,ABEL RODRIGUES GONCALVES FILHO,           ,,67999370803,,CAMPO GRANDE
28506,ABENEL ALVES DA SILVA,,,67991917297,,CAMPO GRANDE
82076,ABF COMERCIO DE COSMETICOS EIRELI,           ,,67998879813,eder@valebrum.com.br,CAMPO GRANDE
49860,ABF OXIGENIO LTDA,6730285297,,,,CAMPO GRANDE
77382,ABG ASSAI E SORVETES CAMPO GRANDE LTDA,           ,,31985293303,brunogandrar@gmail.com,CAMPO GRANDE
47775,ABGAIL MOREIRA DE OLIVEIRA,           ,,67992273163,,CAMPO GRANDE
83845,ABIGAIL DA SILVA CARVALHO,           ,,67991336924,,CAMPO GRANDE
88275,ABIGAIL RAMIRO MARQUES,           ,,67996632008,abigailmarques@gmail.com,CAMPO GRANDE
72593,ABILITY CONSTRUCOES E PRESTADORA DE SERVICOS EIRELI,           ,,67991009663,leo.gianini-adv@hotmail.com,CAMPO GRANDE
61926,ABIMAEL BRUM VEIS,           ,,67992730338,,CAMPO GRANDE
19063,ABIMAEL LOSSAVERO,6733824940,,67999859115,,CAMPO GRANDE
17592,ABIMAIO DE SOUZA PORTUGAL,6733737797,,67999550544,,CAMPO GRANDE
95815,ABIMAIO DE SOUZA PORTUGAL,           ,,67992563830,,CAMPO GRANDE
92257,ABN - PRODUTOS VETERINARIOS LTDA,           ,,67999609027,clinicanativa@gmail.com,RIO BRILHANTE
59004,ABNER MOREIRA BRITO,           ,,67991723394,,CAMPO GRANDE
30950,ABNER REIDERICH NETTO,           ,,67999100777,abnermidas@hotmail.com,TRES LAGOAS
99083,ABRAAO PEDRO DA SILVA,           ,,67998741616,,CAMPO GRANDE
11794,ABRAAO SALUSTIANO SOUZA DA ROSA,6730256105,6730256105,67992172478,,CAMPO GRANDE
53680,ABRAHAO MALULEI NETO,           ,,67998408763,,CAMPO GRANDE
66319,ABRÃO DA SILVA LEMOS,           ,,67992635746,,CAMPO GRANDE
49900,ABRAO JULIO RAHE NETO EPP,           ,,67981274939,,CAMPO GRANDE
63402,ABRAO MAACHAR,           ,,67981357595,,CAMPO GRANDE
66717,ABTM PRODUTOS ALIMENTICIOS LTDA,67999817447,,,,JARDIM
93500,ABV COMERCIO DE ALIMENTOS LTDA,6734107200,,67999721968,contabil@grupoabv.com.br,SAO GABRIEL DO OESTE
96450,AC COMERCIO E TRANSPORTE DE BOVINOS LTDA,           ,,67991840515,ronan_ferreira12@hotmail.com,CAMPO GRANDE
85670,AC FESTAS E EVENTOS LTDA,6730426767,,67992580970,adm@zapfestas.com.br,CAMPO GRANDE
88965,AC PARAFUSOS E FERRAMENTAS,6733871001,,,nfe@parafusoscia.com.br,CAMPO GRANDE
40209,ACACIA HOTEL LTDA,6732721854,6732721270,67999612302,acacia.hotel@hotmail.com,SIDROLANDIA
93400,ACADEMIA DARE LTDA,           ,,67982101001,dmleonel1985@gmail.com,CAMPO GRANDE
80887,ACADEMIA DE POLICIA CIVIL,6733185800,,67993442222,,CAMPO GRANDE
43986,ACADEMIA JR FITNESS LTDA,,,67992011924,academiatimefitness.cg@gmail.com,CAMPO GRANDE
51408,ACADEMIA MACONICA DE LETRAS DE MATO GROSSO DO SUL,6730265646,,67981275711,,CAMPO GRANDE
92513,ACADEMIA SUL MATOGROSSENSE DE LETRAS,67999811351,,67991004784,,CAMPO GRANDE
69708,ACADEMIA UNIVERSE FITNESS LTDA,           ,,67992356594,rodrigogrolli2020@gmail.com,CAMPO GRANDE
68758,ACAI BOM PASTOR EIRELI,           ,,67991977828,acaibompastor@gmail.com,CAMPO GRANDE
94262,ACAI DO TITO,           ,,67992695931,,CAMPO GRANDE
92190,ACAI OF FRIENDS LTDA,           ,,67992632332,,CAMPO GRANDE
2060,ACAIABA EMISSORAS INTEGRADAS LTDA,6733252444 ,,67999838124,,CAMPO GRANDE
96462,ACARI AMBIENTAL LTDA,           ,,67981946406,JAQUELINE@RADIG.COM.BR,CAMPO GRANDE
56278,ACCACIA CUIABANA SALOMAO HEUSY,           ,,67991420523,,CAMPO GRANDE
96087,ACCO & TAJES LTDA.,           ,,67981331000,,CAMPO GRANDE
41203,ACCURCIO TRANSPORTES LTDA,67999223694,,67999223690,,CAMPO GRANDE
62606,ACELINO SINJO NAKASATO,           ,,67999816995,,CAMPO GRANDE
78054,ACELINOROBERTO FERREIRA NETO,           ,,67984045551,,CAMPO GRANDE
85023,ACESSO MONTAGEM DE ANDAIMES,,,67996271363,acessoandaimesms@gmail.com,TERENOS
85703,ACESSOLINE TELECOMUNICACOES LTDA,           ,,49998111257,compras09@acessoline.net.br,CAMPO GRANDE
31239,ACG ESCOLA DE EDUCACAO INFANTIL LTDA.,6730420070,,67981117549,,CAMPO GRANDE
2310,ACG FERRAMENTAS E MATERIAIS DE CONSTRUCAO LTDA,6725257957,,,carlicontabilidade@gmail.com,CAMPO GRANDE
14866,ACHD CURSOS PREPARATORIOS LTDA,6730456444,,67991509155,contato@cursinhomorenao.com.br,CAMPO GRANDE
76553,ACINOX COMERCIO E SERVICOS LTDA,           ,,,,CAMPO GRANDE
79335,ACISO BATISTA  ALVES,           ,,67999101793,,CAMPO GRANDE
54379,ACM MARCON DOS SANTOS ME,6733054045,,67981233534,,CAMPO GRANDE
75460,ACO E ACO VERGALHOES LTDA,6733511510,,,,CAMPO GRANDE
67490,ACO PRATICO CORTE DOBRA COMERCIO E TRANSPORTES DE PRODUTOS SIDERURGICOS LTDA,67996003036,,,,CAMPO GRANDE
75308,ACONCHEGO DA VOVO LTDA,           ,,67992315022,,CAMPO GRANDE
54423,ACOUGUE E MERCEARIA COMERCIAL CASA SILVA EIRELI,6733546204,,67996420022,,CAMPO GRANDE
62940,ACS CONVENIENCIAS E SERVIÇOS LTDA,,,67996291669,,MIRANDA
79575,ACTION! PRODUCOES LTDA,6730432240,,67996631969,,CAMPO GRANDE
74717,ACTO SOLUCOES EM TECNOLOGIA LTDA,6733416276,,,actobrsolucoes@gmail.com,CAMPO GRANDE
80336,ACVR EMPREENDIMENTOS LTDA,           ,,67992160639,alonsocuellarjr@outlook.com,CAMPO GRANDE
62870,ACYR GONCALVES,           ,,67991339162,ACYRREAL@YAHOO.COM.BR,CAMPO GRANDE
43940,ADA MARIA PEREIRA DA SILVA,           ,,67999220332,,CAMPO GRANDE
40478,ADAIANA FRANCA PIATI,           ,,67998801440,,CAMPO GRANDE
70219,ADAIL DE MOURA FE,           ,,67996161940,,CAMPO GRANDE
92286,ADAILSA DA SILVA FRANCA,           ,,67996606718,,CHAPADAO DO SUL
89515,ADAILTON DE CARVALHO,           ,,67984222829,,CAMPO GRANDE
11764,ADAILTON JOSE SANDIM,6730263348 ,,,,CAMPO GRANDE
126550,ADAILTON SANTOS DE ALBUQUERQUE,,,67996238415,,MIRANDA
40251,ADAIR DE OLIVEIRA SILVA,           ,,67992091992,,CAMPO GRANDE
65206,ADAIR DE SOUZA MENESES,67998936924,,,adairsouza165@gmail.com,CAMPO GRANDE
95554,ADAIR ESPINDOLA MARTINS,           ,,67999598711,,CAMPO GRANDE
64991,ADAIR JOSE DE SOUZA,6733859999,,67999820006,silmara.maran@gruposeculoxx.com.br,TERENOS
54339,ADAIR PEREIRA DA SILVA,6732381237,,67992767343,,RIBAS DO RIO PARDO
13113,ADAIR PEREIRA DA SILVA,6732381237,,67999499775,,RIBAS DO RIO PARDO
71018,ADAIR PETRY,           ,,67991143002,,CAMPO GRANDE
60494,ADAIR RODRIGUES BELMONTE,           ,,67991718222,,CAMPO GRANDE
75985,ADAIR SCUIRA,           ,,67992764098,rjscuira@gmail.com,CAMPO GRANDE
101105,ADAIR WUSCH,67999676858,,67996789787,,MARACAJU
65886,ADAIRCE ANGELA DA SILVA SOARES,           ,,67981361816,,CAMPO GRANDE
85000,ADALBERTO ABRAO SIUFI,67999835510,,67999145455,,CAMPO GRANDE
80941,ADALBERTO ALEXANDRE DOMINGUES,           ,,,,RIBAS DO RIO PARDO
96177,ADALBERTO ALVES BENTO,           ,,67991852540,,CAMPO GRANDE
4859,ADALBERTO BRAMBILA,,,67981910370,,CAMPO GRANDE
8104,ADALBERTO CARLOS DE MELO,67992798273,,67992798273,,CAMPO GRANDE
74903,ADALBERTO CARLOS DE MELO,           ,,67992798273,adalbertocarlosmelo@gmail.com,CAMPO GRANDE
41279,ADALBERTO DIAS DUARTES,           ,,67999943800,,CAMPO GRANDE
88944,ADALBERTO FIORI ADELAIDO,           ,,67996088934,,CAMPO GRANDE
59101,ADALBERTO LOPES TERRA,           ,,67981444557,,CAMPO GRANDE
91342,ADALBERTO LOURENCO SCHEEREN,67999955072,,67984513089,,CAMPO GRANDE
68379,ADALBERTO STEFANELLO,67999232295,,67999952944,,CAMPO GRANDE
10319,ADALBERTO VIEIRA DA SILVA,6733803835 ,,67991411953,,CAMPO GRANDE
40344,ADALGISA SERRA,           ,,67999433166,,CAMPO GRANDE
27166,ADALMIR JOSE DE ALMEIDA,           ,,67998970019,,CAMPO GRANDE
59790,ADALTO ATILIO TESSARI,           ,,67992152517,,CAMPO GRANDE
69035,ADALTO CARDOSO SALES,           ,,67992527000,,CAMPO GRANDE
12241,ADALTON APARECIDO NANTES GIMENEZ,6732228382,,67984048090,,CAMPO GRANDE
7173,ADALZISA POLICARPO FERREIRA,6735624407 ,,67984436424,,CHAPADAO DO SUL
75170,ADAM MACEDO DAME,           ,,67992872069,,CAMPO GRANDE
11760,ADAMES IND E COM DE RACOES E SUPLEMENTOS LTDA,6733736330,6733782100,,lucas@adames.com.br,CAMPO GRANDE
91998,ADAN CRISTIAN XAVIER DA SILVA,           ,,67992067738,,CAMPO GRANDE
71383,ADAN LOPES FELIX,           ,,67992804740,,CAMPO GRANDE
94452,ADANLTO FAUSTINO DE SOUZA JUNIOR,           ,,67991113459,,CAMPO GRANDE
22927,ADAO ALVES FERNANDES,           ,,67991463637,,CAMPO GRANDE
63108,ADAO ANDREAS DE BRITO  SAMPAIO,           ,,67992099411,,NOVA ALVORADA DO SUL
27334,ADAO CABRAL MANSANO,,,67991165722,diasmonsano@hotmail.com,CAMPO GRANDE
48985,ADAO CORREA,           ,,67981152410,,MARACAJU
35845,ADAO COUTO DOS REIS,6733214912,,67992303295,,CAMPO GRANDE
95677,ADAO DE QUADROS MARCONDES,           ,,67996365453,,CAMPO GRANDE
59865,ADAO DIAS DE FIGUEIREDO,           ,,67998466738,,QUEBRA COCO
51614,ADAO FRANCISCO NOVAIS,           ,,67999848518,,CAMPO GRANDE
123727,ADAO GONCALVES CHAMORRO,67992475126,,67992475126,,CAMPO GRANDE
92305,ADAO JOSE DE SOUZA,           ,,67993468120,,DOIS IRMAOS DO BURIT
95901,ADAO LUIZ DE JESUS ALMIRON,           ,,67992254039,,CAMPO GRANDE
78067,ADAO MANOEL DE LIMA,           ,,67998899277,,CAMPO GRANDE
66878,ADAO PAES SANDIM,           ,,67999831335,,CORGUINHO
67048,ADAO RENATO MARTINS TERRA,,,67999810848,,SIDROLANDIA
86468,ADAO ROBERLEI DA SILVA,67992267663,,67991762168,,CAMPO GRANDE
69078,ADAO RODRIGUES DE OLIVEIRA,           ,,67991073997,,CAMPO GRANDE
62723,ADAO RODRIGUES NETO,           ,,67992225763,,CAMPO GRANDE
84813,ADAO SANTOS MOREIRA,67991298487,,67992075377,,CAMPO GRANDE
72026,ADAO SILVERIO DA SILVA,67992800145,,,,CAMPO GRANDE
19379,ADAO VEDOVATO,           ,,67996086111,,CAMPO GRANDE
63555,ADAO ZANON,           ,,67996049156,,TERENOS
73740,ADAUTO RODRIGUES DE OLIVEIRA,           ,,67999249317,,MIRANDA
74467,ADE MARQUES,           ,,67992093435,,CAMPO GRANDE
79166,ADEBERSON CHAVES DA SILVEIRA,67998651122,,67996152143,,CAMPO GRANDE
30888,ADEDIS DOS REIS RAMOS,6733314673,,67991052124,,CAMPO GRANDE
9793,ADEGILDO PEIXOTO DE SOUZA E CIA LTDA ME,6732471962 ,,67999029398,churrascariadompixote.28@hotmail.com,COSTA RICA
53352,ADEILDO MARTINS DE PAULA,           ,,67993300148,,CAMPO GRANDE
87945,ADEILSON REIS ESTIGARRIBIA,           ,,67996030040,,CAMPO GRANDE
20450,ADEL HASSAN HAIDAR,,,,,CAMPO GRANDE
66176,ADEL MENDES DA SILVA,           ,,67992065484,,CAMPO GRANDE
83821,ADELAIDE ARECO JARA,           ,,67998251329,,BELA VISTA
82419,ADELAIDE CANHETE GONSALVES,67981119413,,,,CAMPO GRANDE
99130,ADELAIDE LEDESMA FERREIRA,           ,,67992548429,,CAMPO GRANDE
20280,ADELCI PAULO FLORES,6730421969,,67999818009,,CAMPO GRANDE
74009,ADELDES SILVA ROCHA JUNIOR,67998844184,,,,CAMPO GRANDE
85088,ADELFE RIBEIRO DA SILVA JUNIOR,           ,,67993310405,,CAMPO GRANDE
77819,ADELIA DE FREITAS SILVEIRA,67991142552,,67999750809,lumariapinazo@gmail.com,CAMPO GRANDE
71106,ADELIA DE FREITAS TENORIO DE MELO,           ,,67996391270,adelia.sss@hotmail.com,CAMPO GRANDE
71877,ADELIA JIMENEZ ELIZIARIO,67999625252,,,,CAMAPUA
45070,ADELIA MENDONÇA DA SILVA,           ,,67998921172,,CAMPO GRANDE
57556,ADELIA MORITA,67999474639,,,,CAMPO GRANDE
73359,ADELIA RIBEIRO LOURENÇO CORONEL,           ,,67999973369,,CAMPO GRANDE
62358,ADELIA VIEIRA DE SOUZA,67992456715,,,,CAMPO GRANDE
95574,ADELICIA MARIA DO NASCIMENTO OLIVEIRA,           ,,67999940460,,CAMPO GRANDE
45396,ADELINO ALEXANDRE LOPES,           ,,67999462343,,COXIM
4691,ADELINO ALVES DE SOUZA,,,67999541208,,CAMPO GRANDE
58870,ADELINO ANTONIO DE SOUSA TEIXEIRA,           ,,67991852923,,CAMPO GRANDE
